id;locale;code;gmt;order_fee;user_cash
197618580;BD;blogs;2016/6/6 23:38;0;0
219441220;US;blogs;2016/6/6 22:14;1.001;234.11
159310260;IN;blogs;2016/6/6 21:42;0;0
939386456;BG;blogs;2016/6/6 21:21;10;2134.11
235570459;GB;blogs;2016/6/6 21:20;0;0
235570459;GB;blogs;2016/6/6 21:20;0;0
-;GB;blogs;2016/6/6 21:19;0;0
559969234;IN;blogs;2016/6/6 20:59;testing;0
184695152;US;blogs;2016/6/6 19:33;N/A;0
240415115;SG;blogs;2016/6/6 19:32;0;0
926469952;US;blogs;2016/6/6 18:52;0;0
926469952;US;blogs;2016/6/6 18:52;0;0
926469952;US;blogs;2016/6/6 18:52;0;0
926469952;US;blogs;2016/6/6 18:47;0;0
926469952;US;blogs;2016/6/6 18:47;0;0
837727917;IN;blogs;2016/6/6 17:41;0;0
184695152;US;blogs;2016/6/6 17:40;0;0
353194090;MY;blogs;2016/6/6 16:32;0;0
853186349;US;blogs;2016/6/6 16:08;0;0
217941393;US;blogs;2016/6/6 15:51;0;0
184695152;US;blogs;2016/6/6 15:16;0;0
220828752;US;blogs;;0;0
194228688;AE;blogs;2016/6/6 15:01;0;0
441087873;MY;blogs;2016/6/6 14:20;0;0
193615980;US;blogs;2016/6/6 13:20;0;0
194228688;AE;blogs;2016/6/6 12:51;0;0
252047398;PH;blogs;2016/6/6 12:22;0;0
215762736;US;blogs;2016/6/6 12:22;0;0
215762736;US;blogs;2016/6/6 12:20;N/A;0
252047398;PH;blogs;2016/6/6 12:20;0;0
215762736;US;blogs;2016/6/6 12:15;0;0
193615980;US;blogs;2016/6/6 12:06;0;0
94381694;HK;blogs;;0;0
283466153;LK;blogs;2016/6/6 11:41;0;0
283466153;LK;blogs;2016/6/6 11:40;0;0
283466153;LK;blogs;2016/6/6 11:39;0;0
190161079;US;blogs;2016/6/6 11:11;0;0
193615980;US;blogs;2016/6/6 11:09;0;0
441087873;MY;blogs;2016/6/6 10:46;0;0
252047398;PH;blogs;2016/6/6 10:36;0;0
240084245;AU;blogs;2016/6/6 8:10;0;0
204249491;SG;blogs;2016/6/6 7:24;0;0
204249491;SG;blogs;2016/6/6 7:23;0;0
198300145;ES;blogs;2016/6/6 5:39;10;3434.63535
82305753;US;blogs;2016/6/6 3:10;10;10
213744826;MY;blogs;2016/6/6 1:40;10;463.335
213744826;MY;blogs;2016/6/6 0:47;10;653.335
307835228;ID;blogs;2016/6/5 22:31;10;653.335
200672653;CI;blogs;2016/6/5 21:55;10;653.335
